,title,link,view,age
0,INDIAN FOOD MAGIC | CARRYMINATI,https://www.youtube.com//watch?v=-LIMVVfRp6Q,26M views,3 months ago
1,GETTING MARRIED? QNA 2022 | CARRYMINATI,https://www.youtube.com//watch?v=G6qLfTA2PFw,19M views,5 months ago
2,THARA BHAiiiii | CARRYMINATI,https://www.youtube.com//watch?v=0jUj3rfO7eM,45M views,6 months ago
3,METUBE SPACE | CARRYMINATI,https://www.youtube.com//watch?v=xLjMzNKUXKs,18M views,8 months ago
4,CANCEL CULTURE ORGANIZATION | CARRYMINATI,https://www.youtube.com//watch?v=Q9eh308Mstc,21M views,10 months ago
5,SOCIAL MEDIA CULTURE | CARRYMINATI,https://www.youtube.com//watch?v=ZAvKl1RRVh8,21M views,10 months ago
6,THE LAND OF BIGG BOSS | CARRYMINATI,https://www.youtube.com//watch?v=d7sewLjzNs0,48M views,1 year ago
7,VARDAAN - CARRYMINATI X Wily Frenzy,https://www.youtube.com//watch?v=7mFvyrNHZRY,62M views,1 year ago
8,MASSAGE PARADISE,https://www.youtube.com//watch?v=W2uUlW8PLOY,38M views,1 year ago
9,IDLES OF INDIA: GONE RIGHT,https://www.youtube.com//watch?v=abhuAYtmk58,43M views,1 year ago
10,THE ART OF BAD WORDS,https://www.youtube.com//watch?v=q2QvA3wwAe0,45M views,2 years ago
11,YALGAAR - CARRYMINATI X Wily Frenzy,https://www.youtube.com//watch?v=zzwRbKI2pn4,306M views,2 years ago
12,YALGAAR....COMING SOON,https://www.youtube.com//watch?v=WUdo9lzpaas,38M views,2 years ago
13,STOP MAKING ASSUMPTIONS | YOUTUBE VS TIK TOK: THE END,https://www.youtube.com//watch?v=YXlRTFhfE_4,76M views,2 years ago
14,WARRIOR - CARRYMINATI X Wily Frenzy,https://www.youtube.com//watch?v=WNWZNyXSvW0,15M views,2 years ago
15,FILM THE FLARE,https://www.youtube.com//watch?v=GOFQN8otiYs,52M views,2 years ago
16,ARE YOU A VIRGIN? QNA 2020 | CARRYMINATI,https://www.youtube.com//watch?v=WcjMwfwfojQ,27M views,2 years ago
17,BIG BOSS BIG BOSS BIG BOSS PART 2 | CARRYMINATI,https://www.youtube.com//watch?v=9DAKh_XCk6g,64M views,2 years ago
18,Zindagi - CARRYMINATI X Wily Frenzy,https://www.youtube.com//watch?v=0Cyvhz1GmRI,32M views,2 years ago
19,LADKA LADKI AUR WOH | CARRYMINATI,https://www.youtube.com//watch?v=ARKlB5Roq14,29M views,2 years ago
20,NOT A DARING SHOW FT. WAKAR ZAQA  | CARRYMINATI,https://www.youtube.com//watch?v=SE7Yx_b0bE8,45M views,2 years ago
21,TALENTED PEOPLE OF VIGO | CARRYMINATI,https://www.youtube.com//watch?v=zIysUw3B3Gs,37M views,2 years ago
22,CUTE GIRLS PRANK | CARRYMINATI,https://www.youtube.com//watch?v=7x9OmRGtF4E,43M views,2 years ago
23,wildest parties by carry minati,https://www.youtube.com//watch?v=bHLJjgzCDzU,34M views,2 years ago
24,I JUMPED OFF A PLANE | CARRYMINATI QnA 2019,https://www.youtube.com//watch?v=U8qEsK3liMI,13M views,3 years ago
25,TIKTOK EVOLUTION 2019 | CARRYMINATI,https://www.youtube.com//watch?v=uyFxLg_LYU0,69M views,3 years ago
26,SCHOOL TRIP OF THE YEAR,https://www.youtube.com//watch?v=0MpVfUK9uho,19M views,3 years ago
27,TRIGGER - CARRYMINATI X VIBGYOR,https://www.youtube.com//watch?v=pJZTizXITW0,23M views,3 years ago
28,NO MORE SINGLE: VALENTINE SPECIAL FEAT ROCKY,https://www.youtube.com//watch?v=_575JFx6Iq4,63M views,3 years ago
29,MY REAL AGE | QNA 2019,https://www.youtube.com//watch?v=4DOHUzTdS_8,13M views,3 years ago
30,Bye Pewdiepie | Carryminati,https://www.youtube.com//watch?v=2QBsDH72MoM,59M views,3 years ago
31,WEDDING OF THE YEAR (I'M INVITED!),https://www.youtube.com//watch?v=XvyKSWfxM_w,48M views,3 years ago
32,Big Boss pART 1,https://www.youtube.com//watch?v=n2VL8tGZSsA,36M views,3 years ago
33,PUBG INDIA: LIFE BATTLE ROYALE,https://www.youtube.com//watch?v=10y9yefd_xY,39M views,3 years ago
