Name,Reviews,Contact,Website,Location
Santeria,210 reviews,(415) 896-4496,https://santeria-sf.com,"2251 Market St,San Francisco, CA 94114,Sanchez St & 16th St,Castro"
Horsefeather,446 reviews,(415) 817-1939,http://www.horsefeatherbar.com,"528 Divisidero St,San Francisco, CA 94117,Alamo Square"
Beit Rima,192 reviews,(415) 566-1274,http://beitrimasf.com,"86 Carl St,San Francisco, CA 94117,Clayton St & Cole St,Cole Valley"
Dumpling House,338 reviews,(415) 829-2789,http://dumplinghouse-sf.com,"335 Noe St,San Francisco, CA 94114,17th St & 16th St,Castro"
Parada 22,1377 reviews,(415) 750-1111,https://www.paradasf.com,"1805 Haight St,San Francisco, CA 94117,Shrader St & Stanyan St,The Haight"
Fog Harbor Fish House,8098 reviews,(415) 969-2010,https://fogharbor.com,"39 Pier,Ste a - 202,San Francisco, CA 94133,Fisherman's Wharf, North Beach/Telegraph Hill"
The Snug,325 reviews,,http://www.thesnugsf.com,"2301 Fillmore St,San Francisco, CA 94115,Washington St & Clay St,Pacific Heights"
KAIYŌ Rooftop,290 reviews,,https://kaiyosf.com/kaiyorooft…,"701 3rd St,Fl 12,San Francisco, CA 94105,South Beach"
Spice of America,297 reviews,(415) 872-1864,http://Www.spiceofamerica.com,"1655 Market St,San Francisco, CA 94103,Van Ness Ave & 12th St,SoMa"
Marufuku Ramen,4015 reviews,(415) 872-9786,http://marufukuramen.com,"1581 Webster St,Ste 235,San Francisco, CA 94115,Post St & Geary Blvd,Lower Pacific Heights, Japantown"
Starbelly,2088 reviews,(415) 252-7500,http://www.starbellysf.com,"3583 16th St,San Francisco, CA 94114,Pond St & Market St,Castro"
Kingdom Of Dumplings,2264 reviews,(415) 566-6143,https://www.kingdomofdumplings…,"1713 Taraval St,San Francisco, CA 94116,27th Ave & 28th Ave,Parkside"
Star India Restaurant,1000 reviews,(415) 503-9976,http://starindiarestaurant.com,"3721 Geary Blvd,San Francisco, CA 94118,2nd Ave & Arguello Blvd,Inner Richmond"
Manna,1258 reviews,(415) 665-5969,http://www.mannasanfrancisco.c…,"845 Irving St,San Francisco, CA 94122,10th Ave & 9th Ave,Inner Sunset"
Lily,251 reviews,(415) 742-5285,https://www.lilyonclement.com,"225 Clement St,San Francisco, CA 94118,4th Ave & 3rd Ave,Inner Richmond"
Um Ma,558 reviews,(415) 566-5777,http://www.ummasf.com,"1220 9th Ave,San Francisco, CA 94122,Lincoln Way & Irving St,Inner Sunset"
CreoLa,130 reviews,(415) 260-3143,https://www.creolabistro.com,"900 Stanyan St,San Francisco, CA 94117,Frederick St & Carl St,Cole Valley"
Jollibee,674 reviews,(650) 755-4848,https://locations.jollibeeusa.…,"6955 Mission St,Ste 101,Daly City, CA 94014"
Jaranita,324 reviews,(415) 655-9585,http://www.jaranitasf.com,"3340 Steiner St,San Francisco, CA 94123,Chestnut St & Lombard St,Marina/Cow Hollow"
JIJIME,474 reviews,(415) 221-5353,http://www.jijime.com,"5524 Geary Blvd,San Francisco, CA 94121,19th Ave & 20th Ave,Outer Richmond"
Nopalito,1974 reviews,(415) 437-0303,http://www.nopalitosf.com,"306 Broderick St,San Francisco, CA 94117,Fell St & Oak St,Lower Haight"
Sotto Mare,4541 reviews,(415) 398-3181,http://www.sottomaresf.com/,"552 Green St,San Francisco, CA 94133,Columbus Ave & Stockton St,North Beach/Telegraph Hill"
Farmhouse Kitchen Thai Cuisine,3322 reviews,(415) 814-2920,http://www.farmhousethai.com,"710 Florida St,San Francisco, CA 94110,19th St & 20th St,Mission"
Rad Radish,18 reviews,(415) 916-8548,http://www.eatradradish.com,"301 Hayes St,San Francisco, CA 94102,Gough St & Franklin St,Hayes Valley"
Beit Rima,571 reviews,(415) 703-0270,http://www.beitrimasf.com,"138 Church St,San Francisco, CA 94114,Reservoir St & Duboce Ave,Duboce Triangle"
Woodhouse Fish Company,2450 reviews,(415) 437-2722,http://woodhousefish.com,"1914 Fillmore St,San Francisco, CA 94115,Wilmot St & Bush St,Lower Pacific Heights"
