Name,Reviews,Contact,Website,Location
Parada 22,1377 reviews,(415) 750-1111,https://www.paradasf.com,"1805 Haight St,San Francisco, CA 94117,Shrader St & Stanyan St,The Haight"
Beit Rima,192 reviews,(415) 566-1274,http://beitrimasf.com,"86 Carl St,San Francisco, CA 94117,Clayton St & Cole St,Cole Valley"
Dumpling House,338 reviews,(415) 829-2789,http://dumplinghouse-sf.com,"335 Noe St,San Francisco, CA 94114,17th St & 16th St,Castro"
Fog Harbor Fish House,8098 reviews,(415) 969-2010,https://fogharbor.com,"39 Pier,Ste a - 202,San Francisco, CA 94133,Fisherman's Wharf, North Beach/Telegraph Hill"
The Snug,325 reviews,,http://www.thesnugsf.com,"2301 Fillmore St,San Francisco, CA 94115,Washington St & Clay St,Pacific Heights"
Horsefeather,446 reviews,(415) 817-1939,http://www.horsefeatherbar.com,"528 Divisidero St,San Francisco, CA 94117,Alamo Square"
Santeria,210 reviews,(415) 896-4496,https://santeria-sf.com,"2251 Market St,San Francisco, CA 94114,Sanchez St & 16th St,Castro"
KAIYŌ Rooftop,290 reviews,,https://kaiyosf.com/kaiyorooft…,"701 3rd St,Fl 12,San Francisco, CA 94105,South Beach"
Marufuku Ramen,4015 reviews,(415) 872-9786,http://marufukuramen.com,"1581 Webster St,Ste 235,San Francisco, CA 94115,Post St & Geary Blvd,Lower Pacific Heights, Japantown"
Starbelly,2088 reviews,(415) 252-7500,http://www.starbellysf.com,"3583 16th St,San Francisco, CA 94114,Pond St & Market St,Castro"
Spice of America,297 reviews,(415) 872-1864,http://Www.spiceofamerica.com,"1655 Market St,San Francisco, CA 94103,Van Ness Ave & 12th St,SoMa"
Akshar Home Made Food,3 reviews,(480) 330-5490,http://aksharweeklytiffin.com,"Colma, CA 94017"
Krua Thai,145 reviews,(415) 872-6988,https://www.kruathaisf.com,"525 Valencia St,San Francisco, CA 94110,17th St & 16th St,Mission"
Um Ma,558 reviews,(415) 566-5777,http://www.ummasf.com,"1220 9th Ave,San Francisco, CA 94122,Lincoln Way & Irving St,Inner Sunset"
CreoLa,130 reviews,(415) 260-3143,https://www.creolabistro.com,"900 Stanyan St,San Francisco, CA 94117,Frederick St & Carl St,Cole Valley"
Manna,1258 reviews,(415) 665-5969,http://www.mannasanfrancisco.c…,"845 Irving St,San Francisco, CA 94122,10th Ave & 9th Ave,Inner Sunset"
Lily,251 reviews,(415) 742-5285,https://www.lilyonclement.com,"225 Clement St,San Francisco, CA 94118,4th Ave & 3rd Ave,Inner Richmond"
