Name,Reviews,Contact,Website,Location
Santeria,210 reviews,(415) 896-4496,https://santeria-sf.com,"2251 Market St,San Francisco, CA 94114,Sanchez St & 16th St,Castro"
Sotto Mare,4541 reviews,(415) 398-3181,http://www.sottomaresf.com/,"552 Green St,San Francisco, CA 94133,Columbus Ave & Stockton St,North Beach/Telegraph Hill"
Horsefeather,446 reviews,(415) 817-1939,http://www.horsefeatherbar.com,"528 Divisidero St,San Francisco, CA 94117,Alamo Square"
Dumpling House,338 reviews,(415) 829-2789,http://dumplinghouse-sf.com,"335 Noe St,San Francisco, CA 94114,17th St & 16th St,Castro"
Beit Rima,192 reviews,(415) 566-1274,http://beitrimasf.com,"86 Carl St,San Francisco, CA 94117,Clayton St & Cole St,Cole Valley"
KAIYŌ Rooftop,290 reviews,,https://kaiyosf.com/kaiyorooft…,"701 3rd St,Fl 12,San Francisco, CA 94105,South Beach"
Fog Harbor Fish House,8098 reviews,(415) 969-2010,https://fogharbor.com,"39 Pier,Ste a - 202,San Francisco, CA 94133,Fisherman's Wharf, North Beach/Telegraph Hill"
The Snug,325 reviews,,http://www.thesnugsf.com,"2301 Fillmore St,San Francisco, CA 94115,Washington St & Clay St,Pacific Heights"
Marufuku Ramen,4015 reviews,(415) 872-9786,http://marufukuramen.com,"1581 Webster St,Ste 235,San Francisco, CA 94115,Post St & Geary Blvd,Lower Pacific Heights, Japantown"
Starbelly,2088 reviews,(415) 252-7500,http://www.starbellysf.com,"3583 16th St,San Francisco, CA 94114,Pond St & Market St,Castro"
Star India Restaurant,1000 reviews,(415) 503-9976,http://starindiarestaurant.com,"3721 Geary Blvd,San Francisco, CA 94118,2nd Ave & Arguello Blvd,Inner Richmond"
Mokuku,316 reviews,(415) 702-6128,http://www.mokukushabu.com,"332 Clement St,San Francisco, CA 94103,Inner Richmond"
Krua Thai,145 reviews,(415) 872-6988,https://www.kruathaisf.com,"525 Valencia St,San Francisco, CA 94110,17th St & 16th St,Mission"
Um Ma,558 reviews,(415) 566-5777,http://www.ummasf.com,"1220 9th Ave,San Francisco, CA 94122,Lincoln Way & Irving St,Inner Sunset"
Jaranita,324 reviews,(415) 655-9585,http://www.jaranitasf.com,"3340 Steiner St,San Francisco, CA 94123,Chestnut St & Lombard St,Marina/Cow Hollow"
Manna,1258 reviews,(415) 665-5969,http://www.mannasanfrancisco.c…,"845 Irving St,San Francisco, CA 94122,10th Ave & 9th Ave,Inner Sunset"
Lily,251 reviews,(415) 742-5285,https://www.lilyonclement.com,"225 Clement St,San Francisco, CA 94118,4th Ave & 3rd Ave,Inner Richmond"
CreoLa,130 reviews,(415) 260-3143,https://www.creolabistro.com,"900 Stanyan St,San Francisco, CA 94117,Frederick St & Carl St,Cole Valley"
JIJIME,474 reviews,(415) 221-5353,http://www.jijime.com,"5524 Geary Blvd,San Francisco, CA 94121,19th Ave & 20th Ave,Outer Richmond"
Farmhouse Kitchen Thai Cuisine,3322 reviews,(415) 814-2920,http://www.farmhousethai.com,"710 Florida St,San Francisco, CA 94110,19th St & 20th St,Mission"
Jollibee,674 reviews,(650) 755-4848,https://locations.jollibeeusa.…,"6955 Mission St,Ste 101,Daly City, CA 94014"
Rad Radish,18 reviews,(415) 916-8548,http://www.eatradradish.com,"301 Hayes St,San Francisco, CA 94102,Gough St & Franklin St,Hayes Valley"
Parada 22,1377 reviews,(415) 750-1111,https://www.paradasf.com,"1805 Haight St,San Francisco, CA 94117,Shrader St & Stanyan St,The Haight"
Hook Fish,837 reviews,,http://www.hookfishco.com,"4542 Irving St,San Francisco, CA 94122,46th Ave & 47th Ave,Outer Sunset"
Anchor Oyster Bar,1598 reviews,(415) 431-3990,http://www.anchoroysterbar.com,"579 Castro St,San Francisco, CA 94114,19th St & 18th St,Castro"
Nopalito,1974 reviews,(415) 437-0303,http://www.nopalitosf.com,"306 Broderick St,San Francisco, CA 94117,Fell St & Oak St,Lower Haight"
Woodhouse Fish Company,2450 reviews,(415) 437-2722,http://woodhousefish.com,"1914 Fillmore St,San Francisco, CA 94115,Wilmot St & Bush St,Lower Pacific Heights"
Souvla,8 reviews,(415) 400-5458,http://www.souvla.com,"2505 3rd St,San Francisco, CA 94107,23rd St & 22nd St,Dogpatch, Potrero Hill"
Pearl 6101,373 reviews,(415) 592-9777,http://www.pearl-sf.com,"6101 California St,San Francisco, CA 94121,24th Ave & 23rd Ave,Outer Richmond"
Nopa,5267 reviews,(415) 864-8643,http://www.nopasf.com,"560 Divisadero St,San Francisco, CA 94117,Fell St & Hayes St,Alamo Square"
Kingdom Of Dumplings,2264 reviews,(415) 566-6143,https://www.kingdomofdumplings…,"1713 Taraval St,San Francisco, CA 94116,27th Ave & 28th Ave,Parkside"
Lavash,1514 reviews,(415) 664-5555,http://www.lavashsf.com,"511 Irving St,San Francisco, CA 94122,7th Ave & 6th Ave,Inner Sunset"
Tanglad,199 reviews,(415) 624-3238,https://tangladsf.com,"469 Castro St,San Francisco, CA 94114,18th St & 17th St,Castro"
Spice of America,297 reviews,(415) 872-1864,http://Www.spiceofamerica.com,"1655 Market St,San Francisco, CA 94103,Van Ness Ave & 12th St,SoMa"
Blind Butcher,182 reviews,(415) 529-2478,https://blindbutcher.com,"4058 18th St,San Francisco, CA 94114,Hartford St & Castro St,Castro"
Jamie's place,226 reviews,(415) 803-1888,,"1380 9th Ave,San Francisco, CA 94122,Irving St & Judah St,Inner Sunset"
HOT JOHNNIE’S,287 reviews,(415) 624-3171,https://hotjohnnies.com,"4077 18th St,San Francisco, CA 94114,Hartford St & Castro St,Castro"
The Italian Homemade Company,1104 reviews,(415) 655-9325,http://www.italianhomemadecomp…,"1919 Union St,San Francisco, CA 94123,Laguna St & Charlton Ct,Marina/Cow Hollow"
Pizzetta 211,1408 reviews,(415) 379-9880,http://www.pizzetta211.com,"211 23rd Ave,San Francisco, CA 94121,California St & Clement St,Outer Richmond"
Beit Rima,571 reviews,(415) 703-0270,http://www.beitrimasf.com,"138 Church St,San Francisco, CA 94114,Reservoir St & Duboce Ave,Duboce Triangle"
The Palm Court at RH San Francisco,163 reviews,(415) 865-0407,https://rh.com,"590 20th St,San Francisco, CA 94107,Michigan St & Illinois St,Dogpatch, Potrero Hill"
Routier,99 reviews,(415) 766-9997,http://routiersf.com,"2801 California St,San Francisco, CA 94115,Divisadero St & Broderick St,Lower Pacific Heights"
Beretta,301 reviews,(415) 654-5211,http://berettasf.com,"661 Divisadero St,San Francisco, CA 94117,Grove St & Hayes St,NoPa"
California Fish Market Restaurant,445 reviews,(415) 757-0918,http://www.cafishmarketrestaur…,"550 Green St,San Francisco, CA 94133,Columbus Ave & Stockton St,North Beach/Telegraph Hill"
The Tailor's Son,267 reviews,(415) 673-7200,http://www.thetailorssonsf.com,"2049 Fillmore St,San Francisco, CA 94115,Pine St & California St,Lower Pacific Heights"
Il Casaro Pizzeria & Mozzarella Bar -  Castro,203 reviews,(628) 900-5977,https://www.ilcasaropizzeria.c…,"235 Church St,San Francisco, CA 94114,15th St & Market St,Castro"
Square Pie Guys,49 reviews,(415) 890-2335,http://www.squarepieguys.com,"845 Beach St,San Francisco, CA 94109,Larkin St & Hyde St,Russian Hill, Fisherman's Wharf"
Fable,719 reviews,(415) 590-2404,http://www.fablesf.com/,"558 Castro St,San Francisco, CA 94114,19th St & 18th St,Castro"
Souvla,529 reviews,(415) 400-5458,http://www.souvlasf.com,"531 Divisadero St,San Francisco, CA 94117,Fell St & Hayes St,NoPa"
Cha Cha Cha,3358 reviews,(415) 386-7670,http://www.chachachasf.com,"1801 Haight St,San Francisco, CA 94117,Shrader St & Stanyan St,The Haight"
Mr. Digby's Bar & Restaurant,108 reviews,(415) 896-4973,http://www.mrdigbys.com,"1199 Church St,San Francisco, CA 94114,Elizabeth St & 24th St,Noe Valley"
Dumpling Kitchen,1914 reviews,(415) 682-8938,https://dumplingkitchenca.com,"1935 Taraval St,San Francisco, CA 94116,30th Ave & 29th Ave,Parkside"
Kuker,6 reviews,,https://www.kukersf.com,"900 Avenue D,San Francisco, CA 94130"
Limoncello,1444 reviews,(415) 638-6361,http://www.limoncellostogo.com,"1400 Sutter St,San Francisco, CA 94109,Sutter & Franklin ,Lower Pacific Heights"
